Gene	Comparison	Set	Type	Count
Hira	hom_vs_het_wt	mrna_abnormal	filtered	2702
Hira	hom_vs_het_wt	mrna_as_wt	filtered	2206
Hira	hom_vs_het_wt	not_used	filtered	948
Hira	hom_vs_het_wt	ko_response	filtered	5317
Hmgxb3	hom_vs_het_wt	ko_response	unfiltered	73
Hmgxb3	hom_vs_het_wt	ko_response	filtered	NA
Ift140	hom_vs_het_wt	ko_response	unfiltered	NA
Ift140	hom_vs_het_wt	ko_response	filtered	NA
Kif18b	hom_vs_het_wt	ko_response	unfiltered	NA
Kif18b	hom_vs_het_wt	ko_response	filtered	NA
Kif3b	hom_vs_het_wt	ko_response	unfiltered	2859
Kif3b	hom_vs_het_wt	mrna_abnormal	filtered	1032
Kif3b	hom_vs_het_wt	mrna_as_wt	filtered	1869
Kif3b	hom_vs_het_wt	not_used	filtered	1376
Kif3b	hom_vs_het_wt	ko_response	filtered	2894
Kifap3	hom_vs_het_wt	ko_response	unfiltered	120
Kifap3	hom_vs_het_wt	ko_response	filtered	NA
Lztr	hom_vs_het_wt	ko_response	unfiltered	1
Lztr	hom_vs_het_wt	mrna_abnormal	filtered	0
Lztr	hom_vs_het_wt	mrna_as_wt	filtered	3
Lztr	hom_vs_het_wt	not_used	filtered	23
Lztr	hom_vs_het_wt	ko_response	filtered	23
Mad2l2	hom_vs_het_wt	ko_response	unfiltered	3688
Mad2l2	hom_vs_het_wt	mrna_abnormal	filtered	2826
Mad2l2	hom_vs_het_wt	mrna_as_wt	filtered	120
Mad2l2	hom_vs_het_wt	not_used	filtered	1437
Mad2l2	hom_vs_het_wt	ko_response	filtered	858
Map2k7	hom_vs_het_wt	ko_response	unfiltered	51
Map2k7	hom_vs_het_wt	ko_response	filtered	NA
Mir96	hom_vs_het_wt	ko_response	unfiltered	0
Mir96	hom_vs_het_wt	ko_response	filtered	NA
Morc2a	hom_vs_het_wt	ko_response	unfiltered	1546
Morc2a	hom_vs_het_wt	mrna_abnormal	filtered	450
