Gene	Comparison	Set	Type	Count
Traf2	het_vs_wt	ko_response	unfiltered	0
Traf2	het_vs_wt	ko_response	filtered	NA
Traf6	het_vs_wt	ko_response	unfiltered	2
Traf6	het_vs_wt	ko_response	filtered	NA
Trps1	het_vs_wt	ko_response	unfiltered	0
Trps1	het_vs_wt	ko_response	filtered	NA
Wrap53	het_vs_wt	ko_response	unfiltered	0
Wrap53	het_vs_wt	ko_response	filtered	NA
Zfyve20	het_vs_wt	ko_response	unfiltered	1
Zfyve20	het_vs_wt	mrna_abnormal	filtered	0
Zfyve20	het_vs_wt	mrna_as_wt	filtered	0
Zfyve20	het_vs_wt	not_used	filtered	0
Zfyve20	het_vs_wt	ko_response	filtered	1
Zkscan14	het_vs_wt	ko_response	unfiltered	0
Zkscan14	het_vs_wt	mrna_abnormal	filtered	0
Zkscan14	het_vs_wt	mrna_as_wt	filtered	0
Zkscan14	het_vs_wt	not_used	filtered	0
Zkscan14	het_vs_wt	ko_response	filtered	2
Zkscan17	het_vs_wt	ko_response	unfiltered	1
Zkscan17	het_vs_wt	ko_response	filtered	NA
Ift140	hom_vs_het	ko_response	unfiltered	48
Ift140	hom_vs_het	mrna_abnormal	filtered	6
Ift140	hom_vs_het	mrna_as_wt	filtered	36
Ift140	hom_vs_het	not_used	filtered	12
Ift140	hom_vs_het	ko_response	filtered	87
Oaz1	hom_vs_het	ko_response	unfiltered	2
Oaz1	hom_vs_het	mrna_abnormal	filtered	0
Oaz1	hom_vs_het	mrna_as_wt	filtered	2
Oaz1	hom_vs_het	not_used	filtered	1
Oaz1	hom_vs_het	ko_response	filtered	3
